주차장관리번호,주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,위도,경도
405-2-000091,월랑마을 제1 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1289-4,28,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4867679,126.4789663
405-2-000092,월랑마을 제2 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1280-4,17,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4869677,126.4786646
405-2-000093,노형로 공영주차장,공영,노외,제주특별자치도 제주시 노형동 3780,41,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4849514,126.4782104
405-2-000094,노형동 3792 공영주차장,공영,노외,제주특별자치도 제주시 노형동 3792,14,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4830152,126.4778572
405-2-000095,일도2동 1032-4 공영주차장,공영,노외,"제주특별자치도 제주시 일도2동 1032-4,5",21,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000096,노형동 726-3 공영주차장,공영,노외,제주특별자치도 제주시 노형동 726-3,19,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4815897,126.4868756
405-2-000097,오라1동2440-12 공영주차장,공영,노외,제주특별자치도 제주시 오라1동 2440-12,14,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4995944,126.5135557
405-2-000098,도남동748-15 공영주차장,공영,노외,제주특별자치도 제주시 도남동 748-15,10,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4895449,126.5286024
405-2-000099,삼양1동1547-10 공영주차장,공영,노외,제주특별자치도 제주시 삼양1동 1547-10,19,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5293477,126.5911145
405-2-000100,무근성 공영주차장,공영,노외,제주특별자치도 제주시 삼도2동 1159-9,40,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5120406,126.5215055
405-2-000101,일도2동 152-41 공영주차장,공영,노외,제주특별자치도 제주시 일도2동 152-41,18,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000102,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 금능리 1428,13,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.3888985,126.2318892
405-2-000103,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 금능리 1537,23,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.3888815,126.2262901
405-2-000104,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 금능리 2016,85,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.3910236,126.2378621
405-2-000105,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 대림리 1717-2,207,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.4205169,126.2733986
405-2-000106,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 대림리 1820-32,4,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.4172086,126.2643171
405-2-000107,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 수원리 31-3,6,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.4260918,126.2694524
405-2-000108,한림읍 공영주차장,공영,노외,제주특별자치도 제주시 한림읍 수원리 572-2,8,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,0,0,제주특별자치도 제주시청,33.4277063,126.2680684
